BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
199006,2,2010,199006,2,2010,,10054109,MICHIGAN,26.0,1990,June,Tornado,C,161,WASHTENAW,,02-JUN-90 20:10:00,EST,02-JUN-90 20:10:00,0,0,0,0,250K,0.0,,0.0,,,,F2,15.0,160.0,,,,,0.0,,,0.0,,,42.32,-84.08,42.38,-83.8,,,PUB
199001,25,1221,199001,25,1221,,10054094,MICHIGAN,26.0,1990,January,Thunderstorm Wind,C,161,WASHTENAW,DTW,25-JAN-90 12:21:00,CST,25-JAN-90 12:21:00,0,0,0,0,0,0.0,,0.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.28,-83.73,,,,,PUB
199001,25,1238,199001,25,1238,,10054097,MICHIGAN,26.0,1990,January,Thunderstorm Wind,C,161,WASHTENAW,DTW,25-JAN-90 12:38:00,CST,25-JAN-90 12:38:00,0,0,0,0,0,0.0,,80.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.28,-83.73,,,,,PUB
199107,22,2218,199107,22,2218,,10053594,MICHIGAN,26.0,1991,July,Thunderstorm Wind,C,161,WASHTENAW,DTW,22-JUL-91 22:18:00,CST,22-JUL-91 22:18:00,0,0,0,0,0,0.0,,52.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.23,-83.62,,,,,PUB
199109,3,1720,199109,3,1720,,10053613,MICHIGAN,26.0,1991,September,Thunderstorm Wind,C,161,WASHTENAW,DTW,03-SEP-91 17:20:00,CST,03-SEP-91 17:20:00,0,0,0,0,0,0.0,,50.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.28,-83.73,,,,,PUB
199107,3,1430,199107,3,1430,,10053134,MICHIGAN,26.0,1991,July,Hail,C,161,WASHTENAW,DTW,03-JUL-91 14:30:00,CST,03-JUL-91 14:30:00,0,0,0,0,0,0.0,,0.88,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.12,-83.77,,,,,PUB
199105,31,1820,199105,31,1820,,10052012,MICHIGAN,26.0,1991,May,Thunderstorm Wind,C,161,WASHTENAW,DTW,31-MAY-91 18:20:00,CST,31-MAY-91 18:20:00,0,0,1,0,0,0.0,,52.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.4,-83.57,,,,,PUB
199106,15,1630,199106,15,1630,,10053102,MICHIGAN,26.0,1991,June,Thunderstorm Wind,C,161,WASHTENAW,DTW,15-JUN-91 16:30:00,CST,15-JUN-91 16:30:00,0,0,0,0,0,0.0,,52.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.28,-83.73,,,,,PUB
199106,15,1639,199106,15,1639,,10053104,MICHIGAN,26.0,1991,June,Thunderstorm Wind,C,163,WAYNE,DTW,15-JUN-91 16:39:00,CST,15-JUN-91 16:39:00,0,0,0,0,0,0.0,,52.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.23,-83.53,,,,,PUB
199103,27,1945,199103,27,1945,,10055316,MICHIGAN,26.0,1991,March,Thunderstorm Wind,C,161,WASHTENAW,DTW,27-MAR-91 19:45:00,CST,27-MAR-91 19:45:00,0,0,0,0,0,0.0,,0.0,,,,,0.0,0.0,,,,,0.0,,,0.0,,,42.25,-83.83,,,,,PUB
