STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TAVG,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT01,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT06,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT05,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT11,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT04,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT03,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080116,3.4,H, ,S,9999,4.0, , ,S,9999,2.7, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080117,3.3,H, ,S,9999,3.8, , ,S,9999,2.8, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080118,2.8,H, ,S,9999,3.5, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080119,3.0,H, ,S,9999,4.5, , ,S,9999,1.4, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080120,2.3,H, ,S,9999,3.8, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080121,2.1,H, ,S,9999,3.3, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080122,-1.2,H, ,S,9999,1.2, , ,S,9999,-1.9, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080123,-1.9,H, ,S,9999,-0.5, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080124,0.7,H, ,S,9999,-9999, , , ,9999,-4.7, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080125,2.3,H, ,S,9999,4.0, , ,S,9999,1.2, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080126,1.3,H, ,S,9999,2.7, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080127,-1.3,H, ,S,9999,1.2, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080128,-0.8,H, ,S,9999,2.4, , ,S,9999,-5.3, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080129,3.3,H, ,S,9999,-9999, , , ,9999,1.8, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080130,2.2,H, ,S,9999,5.0, , ,S,9999,0.1, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080131,0.9,H, ,S,9999,3.5, , ,S,9999,-1.1, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080201,1.4,H, ,S,9999,2.3, , ,S,9999,0.1, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080202,2.8,H, ,S,9999,3.8, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080203,-0.2,H, ,S,9999,3.9, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080204,1.3,H, ,S,9999,2.8, , ,S,9999,-1.4, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080205,1.7,H, ,S,9999,-9999, , , ,9999,1.0, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080206,2.3,H, ,S,9999,2.9, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080207,1.3,H, ,S,9999,2.1, , ,S,9999,0.6, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080208,2.1,H, ,S,9999,3.1, , ,S,9999,0.9, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080209,3.1,H, ,S,9999,3.8, , ,S,9999,1.6, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080210,3.4,H, ,S,9999,3.9, , ,S,9999,2.9, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:FIE00142101,HELSINKI ILMALA FI,47,60.2,24.9167,20080211,2.4,H, ,S,9999,4.0, , ,S,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
